,TS,9999_1,9999_2,9999_3,1111_1,1111_2,1111_3,5555_1,5555_2,5555_3
1995-10-01,10/01/1995,3.06,3.87,4.37,0.56,0.69,0.73,0.63,0.84,0.93
1995-11-23,11/23/1995,3.06,3.87,135.82,0.56,0.69,26.28,0.63,0.84,0.93
1995-11-27,11/27/1995,3.06,3.87,135.82,0.56,0.69,26.28,0.63,17.57,26.57
1995-11-28,11/28/1995,3.06,3.87,135.82,0.56,16.8,26.28,0.63,17.57,26.57
1995-11-29,11/29/1995,3.06,87.14,135.82,0.56,16.8,26.28,0.63,17.57,26.57
1995-11-30,11/30/1995,53.31,87.14,135.82,0.56,16.8,26.28,0.63,17.57,26.57
1995-12-01,12/01/1995,53.31,87.14,135.82,10.42,16.8,26.28,0.63,17.57,26.57
1995-12-03,12/03/1995,53.31,87.14,135.82,10.42,16.8,26.28,9.46,17.57,26.57
1996-05-24,05/24/1996,53.31,87.14,135.82,10.42,16.8,26.28,9.46,17.57,0.93
1996-05-25,05/25/1996,53.31,87.14,4.37,10.42,16.8,26.28,9.46,17.57,0.93
1996-05-26,05/26/1996,53.31,87.14,4.37,10.42,16.8,0.73,9.46,17.57,0.93
1996-05-30,05/30/1996,53.31,3.87,4.37,10.42,16.8,0.73,9.46,17.57,0.93
1996-05-31,05/31/1996,53.31,3.87,4.37,0.56,16.8,0.73,0.63,17.57,0.93
1996-06-01,06/01/1996,3.06,3.87,4.37,0.56,0.69,0.73,0.63,0.84,0.93
