,TS,9999,1111,5555
1995-10-01,10/01/1995,19.868541219236217,0.31665532232666616,0.6234461477000002
1995-10-02,10/02/1995,16.151698739485575,0.30786418852999947,0.6036002964033335
1995-10-03,10/03/1995,19.281485041701657,0.3087044205633328,0.5930893315033335
1995-10-04,10/04/1995,13.19765196062634,0.28428579690999944,0.5727224246700001
1995-10-05,10/05/1995,13.262615114821186,0.2948923210099995,0.5630897123700002
1995-10-06,10/06/1995,15.200583639979131,0.2871600822299995,0.5497137105500003
1995-10-07,10/07/1995,14.64114434023585,0.27656921957999947,0.5347052645133334
1995-10-08,10/08/1995,12.566558479129137,0.27479934710666615,0.5219647918133334
1995-10-09,10/09/1995,15.631729511061106,0.27068685447999946,0.5087507768133336
1995-10-10,10/10/1995,8.77785110131433,0.26447347262666615,0.4966941175833334
1995-10-11,10/11/1995,20.069340529522268,0.28419491016666615,0.5100617287433336
1995-10-12,10/12/1995,16.091075392667,0.22533677261333285,0.46665490361666684
1995-10-13,10/13/1995,9.152851448596998,0.22941221069666617,0.45304082231333354
1995-10-14,10/14/1995,6.010729682356249,0.23780406604666615,0.44370909217333354
1995-10-15,10/15/1995,10.947303928324443,0.2342411864117063,0.4349790151054039
1995-10-16,10/16/1995,6.354431590933017,0.22998377980448673,0.4247501090664873
1995-10-17,10/17/1995,18.124271371699795,0.22078022389161842,0.411504153745572
1995-10-18,10/18/1995,11.531944294286648,0.21552388606142114,0.39953436474705256
1995-10-19,10/19/1995,9.096450465552948,0.2086919523639715,0.3871940871499209
1995-10-20,10/20/1995,13.489755247847963,0.2032623302510841,0.37599449753539027
1995-10-21,10/21/1995,11.70180568820625,0.18104925108478306,0.3618326063714322
1995-10-22,10/22/1995,7.345419978198443,0.16941967292120308,0.35123746556594887
1995-10-23,10/23/1995,5.770252250586749,0.17821778332075724,0.34491747498599384
1995-10-24,10/24/1995,14.359654770878237,0.18186060491636066,0.33692838951273374
1995-10-25,10/25/1995,10.258406172627897,0.17769379986728245,0.3282281264729342
1995-10-26,10/26/1995,11.839379493122035,0.17443507175837727,0.320046769910483
1995-10-27,10/27/1995,10.250275795367086,0.1651040666590579,0.3073751636397244
1995-10-28,10/28/1995,8.764334502891693,0.1608317632475737,0.29944537744462774
1995-10-29,10/29/1995,11.376523546923833,0.15796673174601206,0.2902582146393676
1995-10-30,10/30/1995,15.00399335635952,0.15438822514682268,0.28257738225686746
1995-10-31,10/31/1995,16.912616259484977,0.15159603509040948,0.2768991756814154
1995-11-01,11/01/1995,17.020187850612913,0.14599067719149159,0.2652345646904843
1995-11-02,11/02/1995,13.505489744946136,0.13384095535707824,0.2545991570580095
1995-11-03,11/03/1995,12.85928507157232,0.1316584920824707,0.24714912156298938
1995-11-04,11/04/1995,11.032430312878333,0.13332640099488674,0.24123604111416988
1995-11-05,11/05/1995,11.566144980577835,0.12978007829712332,0.2348893271001553
1995-11-06,11/06/1995,14.908720153359592,0.12388829310485297,0.2278768334253507
1995-11-07,11/07/1995,11.768798788872337,0.12196850325467201,0.22156899141945288
