,TS,9999,1111,5555
1995-10-01,10/01/1995,21.79467928853305,0.3284531,0.6385662
1995-10-02,10/02/1995,18.015959939532518,0.319405,0.618367
1995-10-03,10/03/1995,21.1453127446421,0.3200302,0.6075628000000001
1995-10-04,10/04/1995,15.03983484390977,0.2954265,0.5869097
1995-10-05,10/05/1995,15.072158643754332,0.3058792,0.5769948
1995-10-06,10/06/1995,16.977066237179187,0.297968,0.5633503000000001
1995-10-07,10/07/1995,16.365984086778912,0.2871767,0.5480826999999999
1995-10-08,10/08/1995,14.251077781661813,0.2852075,0.5350921999999999
1995-10-09,10/09/1995,17.27818834024671,0.2808986,0.5216377000000001
1995-10-10,10/10/1995,10.394824922440497,0.2744778,0.5093489999999999
1995-10-11,10/11/1995,21.649995209028692,0.2940156,0.5224721
1995-10-12,10/12/1995,17.642185808298088,0.23499740000000002,0.4788361
1995-10-13,10/13/1995,10.675950952267726,0.23891350000000003,0.46502150000000003
1995-10-14,10/14/1995,7.513126399466506,0.2471361,0.45552020000000004
1995-10-15,10/15/1995,12.412234843397096,0.2434526,0.44674020000000003
1995-10-16,10/16/1995,7.886805623888527,0.2394343,0.4370651
1995-10-17,10/17/1995,19.725174524622226,0.23047489999999998,0.4243821
1995-10-18,10/18/1995,13.202449441105696,0.22546770000000002,0.4129842000000001
1995-10-19,10/19/1995,10.837612859394898,0.21888979999999997,0.4012245
1995-10-20,10/20/1995,15.302607793614845,0.213719,0.3906139
1995-10-21,10/21/1995,13.587354779947894,0.1917694,0.3770491
1995-10-22,10/22/1995,9.304640240194624,0.1804078,0.36705879999999996
1995-10-23,10/23/1995,7.804082038835246,0.1894782,0.36135100000000003
1995-10-24,10/24/1995,16.468990839516174,0.1933974,0.353981
1995-10-25,10/25/1995,12.44409683262893,0.1895108,0.3459062
1995-10-26,10/26/1995,14.102215357632485,0.1865358,0.3383561
1995-10-27,10/27/1995,12.590982735388947,0.1774917,0.3263209
1995-10-28,10/28/1995,11.183571165678686,0.1735091,0.31903200000000004
1995-10-29,10/29/1995,13.874889925083904,0.1709362,0.3104896
1995-10-30,10/30/1995,17.582066059425518,0.167652,0.3034571
1995-10-31,10/31/1995,19.571042149845525,0.16515639999999998,0.2984313
1995-11-01,11/01/1995,19.759893124449462,0.1598509,0.2874255
1995-11-02,11/02/1995,16.328094580778092,0.1480071,0.27746129999999997
1995-11-03,11/03/1995,15.7677895408087,0.1461426,0.2707071
1995-11-04,11/04/1995,14.031985240976395,0.14815050000000002,0.2655342
1995-11-05,11/05/1995,14.684356898582466,0.14516679999999998,0.2602554
1995-11-06,11/06/1995,18.147547955184585,0.13987149999999998,0.2543449
1995-11-07,11/07/1995,15.130821272645868,0.1385853,0.2491746
1995-11-08,11/08/1995,22.671384894875604,0.1398376,0.2465734
1995-11-09,11/09/1995,25.349940651803593,0.1322539,0.23569279999999998
1995-11-10,11/10/1995,24.46033216761612,0.12458119999999999,0.22923829999999998
1995-11-11,11/11/1995,20.35310404424585,0.125776,0.22570500000000002
1995-11-12,11/12/1995,19.52530856884316,0.1229375,0.22
1995-11-13,11/13/1995,17.03449066410457,0.12099870000000001,0.21371289999999998
1995-11-14,11/14/1995,19.68363366182848,0.1164613,0.20742889999999997
1995-11-15,11/15/1995,22.560930603107344,0.1176508,0.20482070000000002
1995-11-16,11/16/1995,25.365825284452445,0.1121292,0.19304570000000001
1995-11-17,11/17/1995,26.067214656422987,0.11587,0.1893715
1995-11-18,11/18/1995,24.39556354074297,0.11652660000000001,0.1855822
1995-11-19,11/19/1995,28.999001184826113,0.1009263,0.1715348
1995-11-20,11/20/1995,18.52911190803382,0.1012615,0.16313060000000001
1995-11-21,11/21/1995,15.236945680388224,0.10504180000000002,0.1562238
1995-11-22,11/22/1995,9.987704238132412,0.09549919999999999,0.14741629999999997
1995-11-23,11/23/1995,8.69727044000499,0.09125742,0.1379495
1995-11-24,11/24/1995,8.739891283805175,0.12621559999999998,0.1467612
1995-11-25,11/25/1995,28.695785412563282,0.21367779999999997,0.21740320000000002
1995-11-26,11/26/1995,72.07899686867391,0.191602,0.20725239999999998
1995-11-27,11/27/1995,34.39941621078957,0.1598906,0.18296410000000002
1995-11-28,11/28/1995,20.609515812401604,0.158808,0.1697789
1995-11-29,11/29/1995,14.429503650861392,0.1491924,0.1558952
1995-11-30,11/30/1995,7.706506827109747,0.5175373999999999,0.336858
1995-12-01,12/01/1995,3444.847675994212,6.634539,14.435479999999998
1995-12-02,12/02/1995,1828.8239556308533,0.61678,1.530737
1995-12-03,12/03/1995,1475.8336205428986,2.630911,5.418159999999999
1995-12-04,12/04/1995,9375.136922094804,5.102066000000001,12.65632
1995-12-05,12/05/1995,3511.7336981202643,2.3874009999999997,6.866594999999999
1995-12-06,12/06/1995,2600.205158984444,2.7072540000000003,8.092939999999999
1995-12-07,12/07/1995,4616.3298019623,1.7428759999999999,4.741291
1995-12-08,12/08/1995,1670.1392407913552,1.267513,3.4240230000000005
1995-12-09,12/09/1995,4556.543230792122,4.840292,7.368233
1995-12-10,12/10/1995,3718.6812659974653,8.211317999999999,18.326710000000002
1995-12-11,12/11/1995,26806.70222511687,40.80765,81.18599
1995-12-12,12/12/1995,57077.36205909242,137.1987,119.2022
1995-12-13,12/13/1995,13028.54408348071,45.9938,36.50127
1995-12-14,12/14/1995,12750.177487178946,41.52498,44.12983
1995-12-15,12/15/1995,23772.39139758269,51.93245,46.06585590459916
1995-12-16,12/16/1995,10521.4040042453,34.25443,28.39248
1995-12-17,12/17/1995,9063.158568747873,29.116529999999997,25.01466
1995-12-18,12/18/1995,9201.697453836463,25.33316,22.33155
1995-12-19,12/19/1995,7184.699311681285,21.61205,19.93829
1995-12-20,12/20/1995,6187.8407466705185,18.77656,18.01732
1995-12-21,12/21/1995,5358.900626724718,16.45996,16.42438
1995-12-22,12/22/1995,5495.777579267248,17.17959,17.80508
1995-12-23,12/23/1995,4413.5326226221005,14.05071,14.646629999999998
1995-12-24,12/24/1995,3852.3242439946257,12.643419999999999,13.63529
1995-12-25,12/25/1995,3386.7344043107782,11.4705,12.76622
1995-12-26,12/26/1995,2990.4681407342277,10.476989999999999,12.01112
1995-12-27,12/27/1995,2790.813620717225,10.58162,12.30684
1995-12-28,12/28/1995,4820.183080145958,17.954320000000003,24.92257
1995-12-29,12/29/1995,35176.07954168547,51.320890000000006,46.06585590459916
1995-12-30,12/30/1995,18230.72761879131,34.05386,29.628120000000003
1995-12-31,12/31/1995,10814.993514641805,28.0363,24.12848
1996-01-01,01/01/1996,9306.450370184355,24.54438,22.092270000000003
1996-01-02,01/02/1996,7986.963013643906,21.665860000000002,20.39333
1996-01-03,01/03/1996,6862.016190804198,19.28201,18.96194
1996-01-04,01/04/1996,5902.503461743615,17.29271,17.74012
1996-01-05,01/05/1996,5092.081425211472,15.632229999999998,16.66571
1996-01-06,01/06/1996,4411.405308388059,14.2568,15.748220000000002
1996-01-07,01/07/1996,3842.4422181456653,13.09815,14.95452
1996-01-08,01/08/1996,3354.430306035952,12.38148,14.364020000000002
1996-01-09,01/09/1996,4572.5054216404515,16.475,22.76137
1996-01-10,01/10/1996,3806.6085821024544,13.52625,16.53344
1996-01-11,01/11/1996,3275.637104774507,12.57226,15.6512
1996-01-12,01/12/1996,2888.767359169929,11.75362,14.881229999999999
1996-01-13,01/13/1996,2551.5614779563602,11.05429,14.198979999999999
1996-01-14,01/14/1996,2485.935989299056,12.58132,15.567929999999999
1996-01-15,01/15/1996,35815.09557903681,66.88044000000001,49.521159999999995
1996-01-16,01/16/1996,19975.65915936715,40.56013,46.06585590459916
1996-01-17,01/17/1996,20348.26995752144,49.62376,46.06585590459916
1996-01-18,01/18/1996,34052.94731817187,60.961780000000005,54.90889
1996-01-19,01/19/1996,20316.947378225414,46.191759999999995,46.06585590459916
1996-01-20,01/20/1996,20214.750723453515,48.62706,46.06585590459916
1996-01-21,01/21/1996,20396.863976372075,42.9389,46.06585590459916
1996-01-22,01/22/1996,19947.33408249103,41.01435,46.06585590459916
1996-01-23,01/23/1996,27555.670256883583,52.15374,46.06585590459916
1996-01-24,01/24/1996,33247.138633527364,53.17676814303175,46.06585590459916
1996-01-25,01/25/1996,23156.21092324936,45.5444,46.06585590459916
1996-01-26,01/26/1996,19762.1401057314,52.54758,46.06585590459916
1996-01-27,01/27/1996,47653.486249731766,138.5057,122.70519999999999
1996-01-28,01/28/1996,19122.479814593316,48.35717,46.06585590459916
1996-01-29,01/29/1996,16347.211533352202,43.14372,46.06585590459916
1996-01-30,01/30/1996,17349.392089187397,41.31714,46.06585590459916
1996-01-31,01/31/1996,13292.082707124793,36.96913,46.06585590459916
1996-02-01,02/01/1996,10995.456649882202,32.731629999999996,46.03414
1996-02-02,02/02/1996,9226.750692444411,29.33888,42.20325
1996-02-03,02/03/1996,8411.978867555872,28.566840000000003,42.702659999999995
1996-02-04,02/04/1996,21946.71292907648,48.13895,46.06585590459916
1996-02-05,02/05/1996,13796.942369349625,36.08245,45.25776
1996-02-06,02/06/1996,10371.225756601247,32.26696,41.46168
1996-02-07,02/07/1996,8758.450752234756,29.03606,38.53624
1996-02-08,02/08/1996,7413.893388427227,26.350920000000002,36.04545
1996-02-09,02/09/1996,6319.047365470597,24.10763,33.9153
1996-02-10,02/10/1996,5435.33263069132,22.22995,32.080659999999995
1996-02-11,02/11/1996,4714.437677985552,20.64415,30.485709999999997
1996-02-12,02/12/1996,4128.680048361417,19.297439999999998,29.068070000000002
1996-02-13,02/13/1996,3640.4623711874665,18.148329999999998,27.80469
1996-02-14,02/14/1996,3241.2423292288813,17.15686,26.672190000000004
1996-02-15,02/15/1996,2922.581441398033,18.39624,25.73095
1996-02-16,02/16/1996,6179.295613258691,25.93553,33.12575
1996-02-17,02/17/1996,16311.611655489114,53.17676814303175,46.06585590459916
1996-02-18,02/18/1996,22275.649009547767,53.17676814303175,46.06585590459916
1996-02-19,02/19/1996,28048.89886492073,53.17676814303175,46.06585590459916
1996-02-20,02/20/1996,23821.529294277218,53.37666,46.06585590459916
1996-02-21,02/21/1996,29009.922613597217,56.81038000000001,46.06585590459916
1996-02-22,02/22/1996,18814.93739001693,53.17676814303175,46.06585590459916
1996-02-23,02/23/1996,17978.32518886077,53.17676814303175,46.06585590459916
1996-02-24,02/24/1996,17915.6308126341,47.77261,46.06585590459916
1996-02-25,02/25/1996,13805.104267223876,41.669109999999996,46.06585590459916
1996-02-26,02/26/1996,11394.753973964742,36.71093,44.2812
1996-02-27,02/27/1996,11140.001080883776,35.82992,46.06585590459916
1996-02-28,02/28/1996,15503.075841770786,48.45535,46.06585590459916
1996-02-29,02/29/1996,24628.938884654686,53.17676814303175,46.83958
1996-03-01,03/01/1996,13882.647183776648,43.93645,46.06585590459916
1996-03-02,03/02/1996,11411.01633085705,38.75479,46.06585590459916
1996-03-03,03/03/1996,11062.359891095659,38.08443,46.06585590459916
1996-03-04,03/04/1996,17723.604626510674,53.17676814303175,46.06585590459916
1996-03-05,03/05/1996,16455.951970730956,46.80278,46.06585590459916
1996-03-06,03/06/1996,11528.073117935464,40.53866,46.06585590459916
1996-03-07,03/07/1996,9536.557791425495,35.958870000000005,46.06585590459916
1996-03-08,03/08/1996,8002.457053037458,32.15405,43.02434
1996-03-09,03/09/1996,6768.802985362304,29.0584,40.3012
1996-03-10,03/10/1996,9541.59902069209,31.70154,44.190540000000006
1996-03-11,03/11/1996,13530.883253043414,38.08613,46.06585590459916
1996-03-12,03/12/1996,9216.405291727917,29.92473,40.759679999999996
1996-03-13,03/13/1996,7534.889315969501,27.1288,38.24988
1996-03-14,03/14/1996,6357.4163781840625,24.851470000000003,36.10365
1996-03-15,03/15/1996,5391.402875569557,22.87526,34.20929
1996-03-16,03/16/1996,4595.203618542734,21.196839999999998,32.531209999999994
1996-03-17,03/17/1996,3949.0766950447087,19.801270000000002,31.073909999999998
1996-03-18,03/18/1996,3435.938949917033,18.61625,29.7811
1996-03-19,03/19/1996,3010.8369740345747,17.55816,28.601
1996-03-20,03/20/1996,2654.7671267621326,16.64387,27.530279999999998
1996-03-21,03/21/1996,2373.521146743177,15.86845,26.57263
1996-03-22,03/22/1996,2145.3439431131856,15.191670000000002,25.730829999999997
1996-03-23,03/23/1996,1932.9278484048407,14.53914,24.84255
1996-03-24,03/24/1996,1768.3515230518085,14.000070000000001,24.07084
1996-03-25,03/25/1996,1632.1170680556131,13.50355,23.35066
1996-03-26,03/26/1996,1519.1371088541407,13.03122,22.649079999999998
1996-03-27,03/27/1996,1904.8644091449578,13.35864,24.11075
1996-03-28,03/28/1996,2999.8990836686817,13.63861,24.064970000000002
1996-03-29,03/29/1996,2741.081960476148,13.15228,23.10205
1996-03-30,03/30/1996,2398.2627973605827,12.71465,22.384079999999997
1996-03-31,03/31/1996,2456.3100700201653,13.677129999999998,24.65459
1996-04-01,04/01/1996,8637.254256363845,16.76155,29.557990000000004
1996-04-02,04/02/1996,4217.604044497682,14.27431,24.3062
1996-04-03,04/03/1996,3540.9899131337484,13.59631,23.3292
1996-04-04,04/04/1996,3051.324065088227,13.00233,22.44952
1996-04-05,04/05/1996,2645.425533548285,12.468739999999999,21.64147
1996-04-06,04/06/1996,2302.109720577323,11.9909,20.90158
1996-04-07,04/07/1996,2019.5291798660294,11.55767,20.2196
1996-04-08,04/08/1996,1784.167975344032,11.147260000000001,19.58204
1996-04-09,04/09/1996,1577.5184826362008,10.77275,18.99529
1996-04-10,04/10/1996,1419.3847790118516,10.407789999999999,18.41638
1996-04-11,04/11/1996,1266.0638957393378,10.10249,17.90475
1996-04-12,04/12/1996,1143.3742269602553,9.741406,17.35611
1996-04-13,04/13/1996,1035.2040641037838,9.477694,16.865289999999998
1996-04-14,04/14/1996,968.049850877806,9.358697,16.56224
1996-04-15,04/15/1996,1017.5749449321606,10.39517,17.7629
1996-04-16,04/16/1996,10510.646823706049,23.09911,34.490629999999996
1996-04-17,04/17/1996,5471.852537682616,23.07272,32.7446
1996-04-18,04/18/1996,11518.173525953534,31.2553,40.26647
1996-04-19,04/19/1996,9287.955149750893,24.29275,30.028170000000003
1996-04-20,04/20/1996,7289.442530747343,21.5697,27.76387
1996-04-21,04/21/1996,6908.6837091523275,19.504579999999997,26.73051
1996-04-22,04/22/1996,5864.861669014529,17.79478,24.807779999999998
1996-04-23,04/23/1996,8579.649724575262,42.6662,43.84579
1996-04-24,04/24/1996,17684.286752966378,42.96246,40.53055
1996-04-25,04/25/1996,8214.427572854745,30.231409999999997,30.91892
1996-04-26,04/26/1996,6926.102974224367,26.4346,28.44405
1996-04-27,04/27/1996,5827.355897706727,23.20952,26.32375
1996-04-28,04/28/1996,4915.342438321496,20.57331,24.544829999999997
1996-04-29,04/29/1996,4159.2364325264225,18.37761,23.026120000000002
1996-04-30,04/30/1996,3540.0255725601137,16.554660000000002,21.719720000000002
1996-05-01,05/01/1996,3028.4786843832258,15.032770000000001,20.600579999999997
1996-05-02,05/02/1996,2606.286701715433,13.769260000000001,19.61224
1996-05-03,05/03/1996,2250.105466590412,12.660789999999999,18.731939999999998
1996-05-04,05/04/1996,1951.4121578087354,11.77358,17.94724
1996-05-05,05/05/1996,1702.4608838706306,11.05545,17.2538
1996-05-06,05/06/1996,1490.6542692275054,10.40143,16.618170000000003
1996-05-07,05/07/1996,1308.4338635836514,9.817307000000001,16.02348
1996-05-08,05/08/1996,1154.3632612125514,9.325217,15.485220000000002
1996-05-09,05/09/1996,1026.1752741959372,8.864182000000001,14.97729
1996-05-10,05/10/1996,917.4296205906508,8.496902,14.516820000000001
1996-05-11,05/11/1996,827.0069313358536,8.1703,14.07266
