DTTM,TS,9999,1111,5555
1995-10-01,10/01/1995,19.615211359679744,0.29560779,0.5747095799999999
1995-10-02,10/02/1995,16.214363945579265,0.2874645,0.5565303
1995-10-03,10/03/1995,19.030781470177892,0.28802718,0.5468065200000001
1995-10-04,10/04/1995,13.535851359518793,0.26588385,0.52821873
1995-10-05,10/05/1995,13.5649427793789,0.27529128,0.51929532
1995-10-06,10/06/1995,15.279359613461269,0.2681712,0.5070152700000001
1995-10-07,10/07/1995,14.729385678101021,0.25845903000000003,0.49327442999999993
1995-10-08,10/08/1995,12.825970003495632,0.25668675,0.48158297999999994
1995-10-09,10/09/1995,15.55036950622204,0.25280874000000003,0.4694739300000001
1995-10-10,10/10/1995,9.355342430196448,0.24703002,0.45841409999999994
1995-10-11,10/11/1995,19.484995688125824,0.26461404,0.47022489
1995-10-12,10/12/1995,15.877967227468279,0.21149766000000003,0.43095249
1995-10-13,10/13/1995,9.608355857040953,0.21502215000000002,0.41851935
1995-10-14,10/14/1995,6.761813759519855,0.22242249,0.40996818000000007
1995-10-15,10/15/1995,11.171011359057387,0.21910733999999998,0.40206618000000005
1995-10-16,10/16/1995,7.098125061499675,0.21549087,0.39335859
1995-10-17,10/17/1995,17.752657072160005,0.20742740999999998,0.38194389
1995-10-18,10/18/1995,11.882204496995126,0.20292093000000003,0.3716857800000001
1995-10-19,10/19/1995,9.753851573455409,0.19700081999999997,0.36110205
1995-10-20,10/20/1995,13.772347014253361,0.1923471,0.35155251000000004
1995-10-21,10/21/1995,12.228619301953104,0.17259246,0.33934419000000005
1995-10-22,10/22/1995,8.374176216175162,0.16236702,0.33035292
1995-10-23,10/23/1995,7.023673834951722,0.17053038,0.32521590000000006
1995-10-24,10/24/1995,14.822091755564557,0.17405766,0.3185829
1995-10-25,10/25/1995,11.199687149366037,0.17055972,0.31131558
1995-10-26,10/26/1995,12.691993821869236,0.16788222,0.30452049
1995-10-27,10/27/1995,11.331884461850052,0.15974253,0.29368881
1995-10-28,10/28/1995,10.065214049110818,0.15615819,0.2871288
1995-10-29,10/29/1995,12.487400932575515,0.15384258,0.27944063999999996
1995-10-30,10/30/1995,15.823859453482967,0.1508868,0.27311139
1995-10-31,10/31/1995,17.613937934860974,0.14864075999999998,0.26858817
1995-11-01,11/01/1995,17.783903812004517,0.14386580999999998,0.25868295
1995-11-02,11/02/1995,14.695285122700284,0.13320639,0.24971517
1995-11-03,11/03/1995,14.19101058672783,0.13152834000000002,0.24363638999999998
1995-11-04,11/04/1995,12.628786716878755,0.13333545000000002,0.23898078
1995-11-05,11/05/1995,13.21592120872422,0.13065011999999998,0.23422986000000004
1995-11-06,11/06/1995,16.332793159666128,0.12588434999999998,0.22891040999999998
1995-11-07,11/07/1995,13.61773914538128,0.12472677,0.22425714
1995-11-08,11/08/1995,20.404246405388044,0.12585384000000002,0.22191606
1995-11-09,11/09/1995,22.814946586623233,0.11902851,0.21212351999999998
1995-11-10,11/10/1995,22.014298950854506,0.11212307999999999,0.20631446999999997
1995-11-11,11/11/1995,18.317793639821264,0.1131984,0.20313450000000002
1995-11-12,11/12/1995,17.572777711958842,0.11064375000000001,0.198
1995-11-13,11/13/1995,15.331041597694114,0.10889883000000002,0.19234161
1995-11-14,11/14/1995,17.715270295645634,0.10481517,0.18668600999999999
1995-11-15,11/15/1995,20.304837542796612,0.10588572,0.18433863000000003
1995-11-16,11/16/1995,22.8292427560072,0.10091628,0.17374113000000002
1995-11-17,11/17/1995,23.46049319078069,0.104283,0.17043435
1995-11-18,11/18/1995,21.956007186668675,0.10487394000000001,0.16702398000000002
1995-11-19,11/19/1995,26.099101066343504,0.09083367,0.15438132
1995-11-20,11/20/1995,16.676200717230437,0.09113535,0.14681754000000002
1995-11-21,11/21/1995,13.713251112349402,0.09453762000000002,0.14060142
1995-11-22,11/22/1995,8.988933814319171,0.08594927999999999,0.13267466999999997
1995-11-23,11/23/1995,7.827543396004492,0.08213167800000001,0.12415455
1995-11-24,11/24/1995,7.865902155424657,0.11359404,0.13208508000000002
1995-11-25,11/25/1995,25.826206871306955,0.19231001999999997,0.19566288
1995-11-26,11/26/1995,64.87109718180652,0.1724418,0.18652715999999997
1995-11-27,11/27/1995,30.959474589710613,0.14390154,0.16466769000000003
1995-11-28,11/28/1995,18.548564231161443,0.1429272,0.15280101000000001
1995-11-29,11/29/1995,12.986553285775253,0.13427316,0.14030568000000002
1995-11-30,11/30/1995,6.935856144398772,0.46578365999999993,0.3031722
1995-12-01,12/01/1995,3100.362908394791,5.971085100000001,12.991931999999998
1995-12-02,12/02/1995,1645.941560067768,0.555102,1.3776633
1995-12-03,12/03/1995,1328.2502584886088,2.3678199,4.876344
1995-12-04,12/04/1995,8437.623229885323,4.591859400000001,11.390687999999999
1995-12-05,12/05/1995,3160.560328308238,2.1486609,6.179935499999999
1995-12-06,12/06/1995,2340.1846430859996,2.4365286000000004,7.283645999999999
1995-12-07,12/07/1995,4154.69682176607,1.5685883999999999,4.2671619000000005
1995-12-08,12/08/1995,1503.1253167122197,1.1407616999999999,3.0816207000000007
1995-12-09,12/09/1995,4100.88890771291,4.3562628,6.6314097
1995-12-10,12/10/1995,3346.8131393977187,7.390186199999999,16.494039
1995-12-11,12/11/1995,24126.032002605185,36.726885,73.067391
1995-12-12,12/12/1995,51369.62585318318,123.47883,107.28198
1995-12-13,12/13/1995,11725.68967513264,41.394420000000004,32.851143
1995-12-14,12/14/1995,11475.159738461052,37.372482,39.716847
1995-12-15,12/15/1995,21443.414757824423,46.739205000000005,48.750705
1995-12-16,12/16/1995,9517.52610382077,30.828987,25.553232
1995-12-17,12/17/1995,8156.842711873086,26.204877,22.513194
1995-12-18,12/18/1995,8281.527708452817,22.799844,20.098395
1995-12-19,12/19/1995,6466.229380513157,19.450845,17.944461
1995-12-20,12/20/1995,5569.056672003467,16.898904,16.215588
1995-12-21,12/21/1995,4823.010564052246,14.813963999999999,14.781941999999999
1995-12-22,12/22/1995,4946.199821340523,15.461631,16.024572
1995-12-23,12/23/1995,3972.1793603598903,12.645639000000001,13.181966999999998
1995-12-24,12/24/1995,3467.091819595163,11.379078,12.271761
1995-12-25,12/25/1995,3048.0609638797005,10.32345,11.489598
1995-12-26,12/26/1995,2691.421326660805,9.429291,10.810008
1995-12-27,12/27/1995,2511.7322586455025,9.523458,11.076156
1995-12-28,12/28/1995,4338.164772131363,16.158888000000005,22.430313
1995-12-29,12/29/1995,31706.73408751692,46.188801000000005,51.77628000000001
1995-12-30,12/30/1995,16455.917356912178,30.648474,26.665308000000003
1995-12-31,12/31/1995,9781.756663177624,25.232670000000002,21.715632
1996-01-01,01/01/1996,8375.80533316592,22.089942,19.883043000000004
1996-01-02,01/02/1996,7188.266712279516,19.499274000000003,18.353997
1996-01-03,01/03/1996,6175.8145717237785,17.353809000000002,17.065746
1996-01-04,01/04/1996,5312.253115569253,15.563439,15.966108000000002
1996-01-05,01/05/1996,4582.873282690325,14.069007,14.999139000000001
1996-01-06,01/06/1996,3970.2647775492533,12.83112,14.173398000000002
1996-01-07,01/07/1996,3458.1979963310987,11.788335,13.459068
1996-01-08,01/08/1996,3018.987275432357,11.143332000000001,12.927618000000002
1996-01-09,01/09/1996,4115.254879476406,14.827500000000002,20.485233
1996-01-10,01/10/1996,3425.947723892209,12.173625,14.880096
1996-01-11,01/11/1996,2948.0733942970564,11.315034,14.086079999999999
1996-01-12,01/12/1996,2599.890623252936,10.578258,13.393106999999999
1996-01-13,01/13/1996,2296.405330160724,9.948861,12.779081999999999
1996-01-14,01/14/1996,2237.3423903691505,11.323188,14.011137
1996-01-15,01/15/1996,32281.848521133128,76.27989600000001,76.744044
1996-01-16,01/16/1996,18026.355743430435,36.504117,42.762456
1996-01-17,01/17/1996,18361.705461769296,44.661384,57.54258
1996-01-18,01/18/1996,30695.915086354686,70.953102,81.593001
1996-01-19,01/19/1996,18333.515140402873,41.572584,48.35376899999999
1996-01-20,01/20/1996,18241.538151108165,43.764354000000004,54.091656
1996-01-21,01/21/1996,18405.440078734868,38.64501,44.708112
1996-01-22,01/22/1996,18000.863174241927,36.912915,46.803222
1996-01-23,01/23/1996,24848.365731195227,46.938366,65.804886
1996-01-24,01/24/1996,29970.68727017463,49.27329,62.104842000000005
1996-01-25,01/25/1996,20888.852330924426,40.98996,48.404934
1996-01-26,01/26/1996,17834.18859515826,47.292822,55.895679
1996-01-27,01/27/1996,42936.40012475859,140.74263,142.60968
1996-01-28,01/28/1996,17258.494333133985,43.521453,58.125204
1996-01-29,01/29/1996,14760.752880016982,38.829348,54.908297999999995
1996-01-30,01/30/1996,15662.715380268657,37.185426,51.821469
1996-01-31,01/31/1996,12011.136936412315,33.272217,45.659826
1996-02-01,02/01/1996,9944.173484893983,29.458466999999995,41.430726
1996-02-02,02/02/1996,8304.075623199971,26.404992,37.982925
1996-02-03,02/03/1996,7570.780980800285,25.710156,38.432393999999995
1996-02-04,02/04/1996,19800.30413616883,43.325055,56.721906000000004
1996-02-05,02/05/1996,12465.510632414662,32.474205000000005,40.731984
1996-02-06,02/06/1996,9382.365680941122,29.040263999999997,37.315512000000005
1996-02-07,02/07/1996,7882.60567701128,26.132454,34.682616
1996-02-08,02/08/1996,6672.504049584505,23.715828000000002,32.440905
1996-02-09,02/09/1996,5687.142628923537,21.696867,30.523770000000003
1996-02-10,02/10/1996,4891.799367622189,20.006954999999998,28.872593999999996
1996-02-11,02/11/1996,4242.993910186997,18.579735,27.437139
1996-02-12,02/12/1996,3715.8120435252754,17.367696,26.161263
1996-02-13,02/13/1996,3276.41613406872,16.333496999999998,25.024221
1996-02-14,02/14/1996,2917.1180963059933,15.441174000000002,24.004971000000005
1996-02-15,02/15/1996,2630.3232972582296,16.556615999999998,23.157855
1996-02-16,02/16/1996,5561.366051932822,23.341977,29.813174999999998
1996-02-17,02/17/1996,14728.712989940203,53.73504,56.121128999999996
1996-02-18,02/18/1996,20096.34660859299,63.54135,63.00473399999999
1996-02-19,02/19/1996,25292.271478428658,57.518118,55.954232999999995
1996-02-20,02/20/1996,21487.638864849498,64.12649400000001,64.691919
1996-02-21,02/21/1996,26157.192852237495,67.21684200000001,66.494295
1996-02-22,02/22/1996,16981.706151015238,52.163802000000004,51.883829999999996
1996-02-23,02/23/1996,16228.755169974693,48.053205,52.625106
1996-02-24,02/24/1996,16172.33023137069,42.995349000000004,47.764071
1996-02-25,02/25/1996,12472.856340501488,37.502199,43.235640000000004
1996-02-26,02/26/1996,10303.541076568268,33.039837,39.85308
1996-02-27,02/27/1996,10074.2634727954,32.246928000000004,41.504445000000004
1996-02-28,02/28/1996,14001.030757593708,43.609815000000005,57.62499299999999
1996-02-29,02/29/1996,22214.30749618922,59.30750700000001,74.330622
1996-03-01,03/01/1996,12542.644965398984,39.542805,48.73698
1996-03-02,03/02/1996,10318.177197771345,34.879311,44.569736999999996
1996-03-03,03/03/1996,10004.386401986094,34.275987,45.173061000000004
1996-03-04,03/04/1996,15999.506663859607,48.469581000000005,62.629056
1996-03-05,03/05/1996,14858.61927365786,42.122502,50.585976
1996-03-06,03/06/1996,10423.528306141918,36.484794,45.066393000000005
1996-03-07,03/07/1996,8631.164512282947,32.36298300000001,41.649246000000005
1996-03-08,03/08/1996,7202.211347733712,28.938644999999998,38.721906000000004
1996-03-09,03/09/1996,6091.922686826074,26.15256,36.271080000000005
1996-03-10,03/10/1996,8635.701618622881,28.531386,39.771486
1996-03-11,03/11/1996,12226.057427739073,34.277516999999996,46.106946
1996-03-12,03/12/1996,8294.764762555125,26.932257,36.683712
1996-03-13,03/13/1996,6781.40038437255,24.41592,34.424892
1996-03-14,03/14/1996,5721.674740365656,22.366323,32.493285
1996-03-15,03/15/1996,4852.262588012602,20.587734,30.788361000000002
1996-03-16,03/16/1996,4135.6832566884605,19.077156,29.278088999999994
1996-03-17,03/17/1996,3554.1690255402377,17.821143000000003,27.966518999999998
